"Book"	"name"	"author"	"language"	"wikiLink"	"authorName"	"authorWikiLink"
"http://dbpedia.org/resource/Special_Illumination:_The_Sufi_Use_of_Humour"	"Special Illumination: The Sufi Use Of Humour"	"http://dbpedia.org/resource/Idries_Shah"	"English"	"http://en.wikipedia.org/wiki/Special_Illumination:_The_Sufi_Use_of_Humour?oldid=592690447"	"ادریس شاه"	"http://en.wikipedia.org/wiki/Idries_Shah?oldid=601847088"
"http://dbpedia.org/resource/Special_Illumination:_The_Sufi_Use_of_Humour"	"Special Illumination: The Sufi Use Of Humour"	"http://dbpedia.org/resource/Idries_Shah"	"English"	"http://en.wikipedia.org/wiki/Special_Illumination:_The_Sufi_Use_of_Humour?oldid=592690447"	"इदरीस शाह"	"http://en.wikipedia.org/wiki/Idries_Shah?oldid=601847088"
"http://dbpedia.org/resource/Tales_from_the_Perilous_Realm"	"Tales from the Perilous Realm"	"http://dbpedia.org/resource/J._R._R._Tolkien"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Tales_from_the_Perilous_Realm?oldid=554882387"	"J. R. R. Tolkien"	"http://en.wikipedia.org/wiki/J._R._R._Tolkien?oldid=605947605"
"http://dbpedia.org/resource/Tales_from_the_Perilous_Realm"	"Tales from the Perilous Realm"	"http://dbpedia.org/resource/J._R._R._Tolkien"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Tales_from_the_Perilous_Realm?oldid=554882387"	"Tolkien, J. R. R."	"http://en.wikipedia.org/wiki/J._R._R._Tolkien?oldid=605947605"
"http://dbpedia.org/resource/Terror_Television_American_Series_1970%E2%80%931999"	"Terror Television American Series 1970-1999"	"http://dbpedia.org/resource/John_Kenneth_Muir"	"English"	"http://en.wikipedia.org/wiki/Terror_Television_American_Series_1970–1999?oldid=599352688"	"Muir, John Kenneth"	"http://en.wikipedia.org/wiki/John_Kenneth_Muir?oldid=602529975"
"http://dbpedia.org/resource/Terror_Television_American_Series_1970%E2%80%931999"	"Terror Television American Series 1970-1999"	"http://dbpedia.org/resource/John_Kenneth_Muir"	"English"	"http://en.wikipedia.org/wiki/Terror_Television_American_Series_1970–1999?oldid=599352688"	"John Kenneth Muir"	"http://en.wikipedia.org/wiki/John_Kenneth_Muir?oldid=602529975"
"http://dbpedia.org/resource/The_1979_Annual_World's_Best_SF"	"The 1979 Annual World's Best SF"	"http://dbpedia.org/resource/Donald_A._Wollheim"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_1979_Annual_World's_Best_SF?oldid=582199273"	"Donald A. Wollheim"	"http://en.wikipedia.org/wiki/Donald_A._Wollheim?oldid=602615276"
"http://dbpedia.org/resource/The_1979_Annual_World's_Best_SF"	"The 1979 Annual World's Best SF"	"http://dbpedia.org/resource/Donald_A._Wollheim"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_1979_Annual_World's_Best_SF?oldid=582199273"	"Wollheim, Donald A."	"http://en.wikipedia.org/wiki/Donald_A._Wollheim?oldid=602615276"
"http://dbpedia.org/resource/The_Dharma_of_Star_Wars"	"The Dharma of Star Wars"	"http://dbpedia.org/resource/The_Dharma_of_Star_Wars"	"English"	"http://en.wikipedia.org/wiki/The_Dharma_of_Star_Wars?oldid=604464669"	"The Dharma of Star Wars"	"http://en.wikipedia.org/wiki/The_Dharma_of_Star_Wars?oldid=604464669"
"http://dbpedia.org/resource/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)"	"The Lost Princess"	"http://dbpedia.org/resource/Celeste_Buckingham"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)?oldid=605976438"	"Celeste Buckingham"	"http://en.wikipedia.org/wiki/Celeste_Buckingham?oldid=606439329"
"http://dbpedia.org/resource/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)"	"The Lost Princess"	"http://dbpedia.org/resource/Celeste_Buckingham"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)?oldid=605976438"	"Buckingham, Celeste"	"http://en.wikipedia.org/wiki/Celeste_Buckingham?oldid=606439329"
"http://dbpedia.org/resource/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)"	"The Lost Princess"	"http://dbpedia.org/resource/Carmel_Buckingham"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_Lost_Princess_(Celeste_and_Carmel_Buckingham_book)?oldid=605976438"	"Carmel Buckingham"	"http://en.wikipedia.org/wiki/Carmel_Buckingham?oldid=605141599"
"http://dbpedia.org/resource/The_Miracle_of_Castel_di_Sangro"	"The Miracle of Castel di Sangro"	"http://dbpedia.org/resource/Joe_McGinniss"	"English"	"http://en.wikipedia.org/wiki/The_Miracle_of_Castel_di_Sangro?oldid=598303018"	"Joe McGinniss"	"http://en.wikipedia.org/wiki/Joe_McGinniss?oldid=599794544"
